method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
cuda_before,1,4.1838765,4.1838765,4.88526525,239.01279112803638,5.2865805192863595
cuda_optimized,1,2.169756,2.169756,4.03933935,460.8813156871095,10.193957292893762
opencv,1,0.241922,0.241922,1.0509624000000042,4133.563710617472,91.42781557692149
cuda_before,2,3.657394,7.314788,10.1536496,273.4187238235749,6.0475847010193595
cuda_optimized,2,2.8164497500000003,5.632899500000001,10.831074700000002,355.05692938423624,7.853291186892291
opencv,2,0.42284975,0.8456995,2.996860100000001,2364.906210775813,52.30794153242375
cuda_before,4,3.12109025,12.484361,15.489563350000005,320.4008599238679,7.08675438014008
cuda_optimized,4,2.4214207500000002,9.685683000000001,11.3744612,412.98068499660786,9.134471983028972
opencv,4,1.534955,6.13982,13.697863100000003,651.4848969513764,14.409803544729325
cuda_before,8,2.91826325,23.346106,32.714536700000004,342.6695655369679,7.579302518372871
cuda_optimized,8,2.376716,19.013728,20.738219349999998,420.7486296217133,9.306286489424904
opencv,8,0.83002525,6.640202,18.631508250000003,1204.7826255887999,26.64786402582331
cuda_before,16,3.3237906875,53.180651,87.736062,300.86130386030817,6.654570663303841
cuda_optimized,16,2.35430075,37.668812,38.71958705,424.7545688459726,9.39489145556276
opencv,16,0.899305875,14.388894,72.6086999,1111.968716984085,24.594968869740782
cuda_before,32,2.9010673437500003,92.83415500000001,117.71432564999999,344.70071925575235,7.624228388786432
cuda_optimized,32,2.30985109375,73.915235,75.12872215,432.92834014530297,9.575682198669869
opencv,32,1.091956046875,34.9425935,76.14557000000003,915.7877763137416,20.255760351617862
cuda_before,48,2.63418584375,126.4409205,141.79848615,379.6239366985627,8.39667408147349
cuda_optimized,48,2.3200895,111.364296,113.39821989999999,431.0178551301577,9.533425326910882
opencv,48,1.2551166458333334,60.245599,164.49412335000002,796.7386962158016,17.622585178379584
cuda_before,64,2.6180064921875,167.5524155,189.48303200000004,381.9700229866277,8.448565756427426
cuda_optimized,64,2.36706759375,151.492326,155.4983064,422.46364347194725,9.34421985176992
opencv,64,1.0688188749999998,68.40440799999999,133.60032855,935.612219610175,20.694245318225693
