method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
cuda_before,1,4.1838765,4.1838765,4.88526525,239.01279112803638,5.2865805192863595
cuda_optimized,1,2.223242,2.223242,2.2574132000000002,449.7935897216767,9.948714534899935
opencv,1,0.241922,0.241922,1.0509624000000042,4133.563710617472,91.42781557692149
cuda_before,2,3.657394,7.314788,10.1536496,273.4187238235749,6.0475847010193595
cuda_optimized,2,2.1164295,4.232859,4.4612619,472.4938865197258,10.450808779597903
opencv,2,0.42284975,0.8456995,2.996860100000001,2364.906210775813,52.30794153242375
