method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
cpu,1,1.6062205,1.6062205,1.69346425,622.5795275306224,13.770463021733319
cuda,1,2.169756,2.169756,4.03933935,460.8813156871095,10.193957292893762
cuda_kernel_only,1,0.1074879989027977,0.1074879989027977,1.4619440019130703,9303.364191422974,205.77553053156993
opencv,1,0.241922,0.241922,1.0509624000000042,4133.563710617472,91.42781557692149
cpu,2,1.03010625,2.0602125,2.45504655,970.7736459224474,21.47195980997106
cuda,2,2.8164497500000003,5.632899500000001,10.831074700000002,355.05692938423624,7.853291186892291
cuda_kernel_only,2,0.08627200126647949,0.17254400253295898,0.6541663885116558,11591.246120640817,256.3798181947819
opencv,2,0.42284975,0.8456995,2.996860100000001,2364.906210775813,52.30794153242375
